concurrency,保守情景,实测基准,乐观情景
10,2.8365,2.3745,2.0
15,2.8365,2.3745,2.0
20,3.076923076923077,2.5617781885627178,2.2222222222222223
25,3.8461538461538463,3.202222735703397,2.7777777777777777
30,4.615384615384615,3.8426672828440767,3.3333333333333335
35,5.384615384615385,4.483111829984756,3.888888888888889
40,6.153846153846154,5.1235563771254355,4.444444444444445
45,6.923076923076923,5.7640009242661145,5.0
50,7.6923076923076925,6.404445471406794,5.555555555555555
55,8.461538461538462,7.044890018547473,6.111111111111111
60,9.23076923076923,7.685334565688153,6.666666666666667
65,10.0,8.325779112828833,7.222222222222222
70,10.76923076923077,8.966223659969511,7.777777777777778
75,11.538461538461538,9.606668207110191,8.333333333333334
80,12.307692307692308,10.247112754250871,8.88888888888889
85,13.076923076923077,10.88755730139155,9.444444444444445
90,13.846153846153847,11.528001848532229,10.0
95,14.615384615384615,12.168446395672909,10.555555555555555
100,15.384615384615385,12.808890942813589,11.11111111111111
105,16.153846153846153,13.449335489954267,11.666666666666666
110,16.923076923076923,14.089780037094947,12.222222222222221
115,17.692307692307693,14.730224584235627,12.777777777777779
120,18.46153846153846,15.370669131376307,13.333333333333334
