id,task_id,status,channel_id,quota,submit_time,start_time,finish_time,progress,properties
193,task_LRZF8U9egvAYJeup7qOctFmavuQahfWg,SUCCESS,3,87671,1786618490,1786618496,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
194,task_0EHpZN5R982PAgwilR6pJzgPH1bWrqVl,SUCCESS,3,87671,1786618886,0,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
195,task_80Id3D5hw6cQqP5S90km4YEz4PzziAWB,SUCCESS,3,87671,1786618886,1786618902,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
196,task_WZDNk8GX12Sxk5EgxDQm0cqxwpKAkXyz,SUCCESS,3,87671,1786618887,1786618903,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
197,task_Sm8PoYoyx2VYMreCp2YmtGIgaB55LHIe,SUCCESS,3,87671,1786618887,1786619140,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
198,task_RRZS9hUAYyobsl9LrXxW4GIXGlhhgwDW,SUCCESS,3,87671,1786618887,1786619141,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
199,task_Hsn58dprChAbexkq7ObbZPJJ3txwoH5m,SUCCESS,3,87671,1786618887,1786619036,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
200,task_Ij67XYtJOdZ6ID6iMvMi24R9QRFBECbc,SUCCESS,3,87671,1786618887,1786618912,1786619038,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
201,task_ozNygizCkUPwHU8gEEwhcEJ5wfOzl2gA,SUCCESS,3,87671,1786618887,1786619142,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
202,task_qQZw3nxTPYB61siGKKR24GQsE1KFvFgn,SUCCESS,3,87671,1786618887,1786618915,1786619041,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
203,task_CfBx2BPGUsw7aSIUuXmPKJ4PT08y26lU,SUCCESS,3,87671,1786618887,1786618917,1786619043,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
204,task_cZXRDOCHuJDWdZ3q7SqrhwD8VpE9sqwW,SUCCESS,3,87671,1786618887,1786619045,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
205,task_f6Yj9oWPRRS7FOGeGHqchEs2RwShFy7L,SUCCESS,3,87671,1786618887,1786618921,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
206,task_Kz67fgDYnQvNEq5qvvmbUvhzNr6aIOCZ,SUCCESS,3,87671,1786618887,1786618923,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
207,task_gHRFjHdnhZ8wHoRBn9MgZyIELsqeN6As,SUCCESS,3,87671,1786618887,1786618925,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
208,task_67tAwMrLLGWpedfSNhSQAEai83mrECrX,SUCCESS,3,87671,1786618887,1786619052,0,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
209,task_OMAing9HbhahQ8JaDMwyWaaOcJhbPXjT,SUCCESS,3,87671,1786618887,1786619146,1786619250,100%,"{""input"":"""",""upstream_model_name"":""AP Seedance-2.0 轻量版"",""origin_model_name"":""AP Seedance-2.0 轻量版""}"
