model,category,billing_model,scenario,unit,aipdd_awcoin,newapi_awcoin,awcoin_match,aipdd_rmb,newapi_rmb,rmb_match,site_ui_rmb_ref_only,measured_awcoin,measured_match,in_aipdd,in_newapi,group_ratio,note
AP Seedance-2.0 VIP,Seedance,per_second,1080p/每秒,1.0s,13000,13000,一致,1.3,1.3,一致,1.400573,,,Y,Y,1.0,rate=13000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 VIP,Seedance,per_second,1080p/默认5秒,5.0s,65000,65000,一致,6.5,6.5,一致,7.002863,,,Y,Y,1.0,rate=13000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 VIP,Seedance,per_second,480p/不可用,N/A,,,,,,,,,,Y,Y,1.0,上游单价0；NewAPI 返回 unsupported_resolution。主口径不计价。
AP Seedance-2.0 VIP,Seedance,per_second,4k/每秒,1.0s,49000,49000,一致,4.9,4.9,一致,5.279081,,,Y,Y,1.0,rate=49000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 VIP,Seedance,per_second,4k/默认5秒,5.0s,245000,245000,一致,24.5,24.5,一致,26.395407,,,Y,Y,1.0,rate=49000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 VIP,Seedance,per_second,720p/每秒,1.0s,7000,7000,一致,0.7,0.7,一致,0.754154,,,Y,Y,1.0,rate=7000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 VIP,Seedance,per_second,720p/默认5秒,5.0s,35000,35000,一致,3.5,3.5,一致,3.770772,35000,一致,Y,Y,1.0,rate=7000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 VIP,Seedance,per_second,720p/10秒,10.0s,70000,70000,一致,7.0,7.0,一致,7.541545,,,Y,Y,1.0,rate=7000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 标准版,Seedance,per_second,1080p/每秒,1.0s,13000,13000,一致,1.3,1.3,一致,1.400573,,,Y,Y,1.0,rate=13000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 标准版,Seedance,per_second,1080p/默认5秒,5.0s,65000,65000,一致,6.5,6.5,一致,7.002863,65000,一致,Y,Y,1.0,rate=13000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 标准版,Seedance,per_second,480p/不可用,N/A,,,,,,,,,,Y,Y,1.0,上游单价0；NewAPI 返回 unsupported_resolution。主口径不计价。
AP Seedance-2.0 标准版,Seedance,per_second,4k/每秒,1.0s,49000,49000,一致,4.9,4.9,一致,5.279081,,,Y,Y,1.0,rate=49000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 标准版,Seedance,per_second,4k/默认5秒,5.0s,245000,245000,一致,24.5,24.5,一致,26.395407,245000,一致,Y,Y,1.0,rate=49000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 标准版,Seedance,per_second,720p/每秒,1.0s,7000,7000,一致,0.7,0.7,一致,0.754154,,,Y,Y,1.0,rate=7000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 标准版,Seedance,per_second,720p/默认5秒,5.0s,35000,35000,一致,3.5,3.5,一致,3.770772,35000,一致,Y,Y,1.0,rate=7000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 标准版,Seedance,per_second,720p/10秒,10.0s,70000,70000,一致,7.0,7.0,一致,7.541545,70000,一致,Y,Y,1.0,rate=7000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 轻量版,Seedance,per_second,1080p/每秒,1.0s,13000,13000,一致,1.3,1.3,一致,1.400573,,,Y,Y,1.0,rate=13000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 轻量版,Seedance,per_second,1080p/默认5秒,5.0s,65000,65000,一致,6.5,6.5,一致,7.002863,,,Y,Y,1.0,rate=13000.0 AW/s；主人民币=AWCoin×0.0001；site_ui 列仅供参考不参与结论
AP Seedance-2.0 轻量版,Seedance,per_second,480p/不可用,N/A,,,,,,,,,,Y,Y,1.0,上游单价0；NewAPI 返回 unsupported_resolution。主口径不计价。
